crop,split,src_image,person_idx,x1,y1,x2,y2,helmet,vest,gloves,boots,n_overlap_persons,crop_w,crop_h
train/004a853d548baab3_p0.jpg,train,004a853d548baab3.jpg,0,524.8,298.9,602.2,605.1,0,1,1,0,0,77,306
train/004f5d5a787bdc6c_p0.jpg,train,004f5d5a787bdc6c.jpg,0,559.4,201.2,596.6,250.8,0,0,-1,-1,0,37,49
train/00572c5107ec2dd7_p0.jpg,train,00572c5107ec2dd7.jpg,0,286.2,0.0,356.8,236.4,1,1,1,-1,0,70,236
train/00572c5107ec2dd7_p1.jpg,train,00572c5107ec2dd7.jpg,1,225.1,3.5,275.9,161.6,1,1,0,-1,0,50,158
train/005a1989d9936383_p0.jpg,train,005a1989d9936383.jpg,0,491.4,132.9,549.6,211.1,1,1,-1,-1,0,58,78
train/007c82365d40afeb_p0.jpg,train,007c82365d40afeb.jpg,0,260.1,129.8,400.9,380.2,1,-1,1,1,0,140,250
train/009ec89c85fda3f9_p0.jpg,train,009ec89c85fda3f9.jpg,0,182.9,406.5,310.1,640.0,0,0,0,-1,0,127,233
train/009ec89c85fda3f9_p1.jpg,train,009ec89c85fda3f9.jpg,1,345.4,382.6,485.6,640.0,0,0,0,-1,0,140,257
train/017e1f12016aa944_p0.jpg,train,017e1f12016aa944.jpg,0,317.2,0.0,508.8,492.9,1,1,-1,1,0,191,492
train/0209b5c1a20d9e4e_p0.jpg,train,0209b5c1a20d9e4e.jpg,0,558.6,0.0,640.0,66.1,-1,-1,-1,-1,0,81,66
train/0209b5c1a20d9e4e_p1.jpg,train,0209b5c1a20d9e4e.jpg,1,70.2,0.0,357.8,383.7,-1,0,1,0,0,287,383
train/022033c0bc9a9a93_p0.jpg,train,022033c0bc9a9a93.jpg,0,47.6,0.0,328.4,311.1,-1,0,1,0,0,280,311
train/022c3122a541b624_p0.jpg,train,022c3122a541b624.jpg,0,310.4,94.8,440.6,241.2,1,1,-1,-1,0,130,146
train/022c3122a541b624_p1.jpg,train,022c3122a541b624.jpg,1,127.2,187.5,352.8,368.5,1,0,-1,-1,0,225,181
train/0247599efe778ba4_p0.jpg,train,0247599efe778ba4.jpg,0,170.2,264.9,395.8,540.1,1,0,0,0,0,225,275
train/02590719417747d6_p0.jpg,train,02590719417747d6.jpg,0,0.0,69.7,452.3,640.0,0,1,1,-1,0,452,570
train/02d1c73cc9c05cf3_p0.jpg,train,02d1c73cc9c05cf3.jpg,0,160.7,162.4,220.3,323.6,1,1,1,1,0,59,161
train/03606903ce1eeaa6_p0.jpg,train,03606903ce1eeaa6.jpg,0,133.5,104.1,466.5,640.0,0,0,1,0,0,332,535
train/03606903ce1eeaa6_p1.jpg,train,03606903ce1eeaa6.jpg,1,372.2,84.9,635.8,640.0,0,1,-1,-1,0,263,555
train/03d6ac506d9a43e6_p0.jpg,train,03d6ac506d9a43e6.jpg,0,356.9,395.2,640.0,537.8,1,1,-1,-1,0,283,142
train/03d6ac506d9a43e6_p1.jpg,train,03d6ac506d9a43e6.jpg,1,183.2,393.2,322.8,483.8,1,1,-1,-1,0,139,90
train/03f206777f76dd32_p0.jpg,train,03f206777f76dd32.jpg,0,228.8,74.6,577.2,600.4,0,1,-1,0,0,348,525
train/05341b68e0be2a76_p0.jpg,train,05341b68e0be2a76.jpg,0,356.4,112.0,450.6,200.0,0,1,1,-1,0,94,88
train/05341b68e0be2a76_p1.jpg,train,05341b68e0be2a76.jpg,1,465.0,164.6,550.0,220.4,1,0,-1,-1,0,84,55
train/069df3d7a477c358_p0.jpg,train,069df3d7a477c358.jpg,0,0.0,220.7,276.9,575.3,1,0,1,-1,0,276,354
train/069df3d7a477c358_p1.jpg,train,069df3d7a477c358.jpg,1,242.7,247.2,310.3,340.8,0,1,-1,-1,0,67,93
train/069df3d7a477c358_p2.jpg,train,069df3d7a477c358.jpg,2,380.1,240.0,430.9,276.0,0,0,-1,-1,0,50,35
train/069df3d7a477c358_p3.jpg,train,069df3d7a477c358.jpg,3,297.2,254.3,338.8,310.7,0,-1,-1,-1,0,41,56
train/07e56b7013848c86_p0.jpg,train,07e56b7013848c86.jpg,0,365.7,23.9,446.3,213.1,1,1,1,-1,0,80,189
train/0821437ec26bbcc8_p0.jpg,train,0821437ec26bbcc8.jpg,0,431.6,210.9,629.4,483.1,1,-1,-1,1,0,197,272
train/0821437ec26bbcc8_p1.jpg,train,0821437ec26bbcc8.jpg,1,474.6,261.2,610.4,359.8,-1,-1,-1,-1,1,135,98
train/0821437ec26bbcc8_p2.jpg,train,0821437ec26bbcc8.jpg,2,511.5,166.6,594.5,243.4,0,1,-1,-1,0,83,76
