epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.5857,1.79862,1.98297,1.54625,0.48554,0.4181,0.38957,0.17282,1.80012,2.00449,1.56545,0.000248566,0.000248566,0.000248566
2,21.3826,1.66882,1.3281,1.43524,0.31763,0.31988,0.20697,0.08297,2.05664,4.62927,1.93431,0.000494902,0.000494902,0.000494902
3,31.4617,1.70229,1.33517,1.46016,0.31774,0.29876,0.1847,0.07341,2.16581,12.4949,2.00221,0.000731088,0.000731088,0.000731088
4,41.3466,1.72807,1.37229,1.49105,0.33478,0.28606,0.21702,0.08727,2.21314,3.41129,1.98625,0.000723321,0.000723321,0.000723321
5,50.9804,1.69994,1.30221,1.46484,0.44852,0.40311,0.36539,0.15888,1.91088,2.14376,1.72986,0.000708095,0.000708095,0.000708095
6,60.5253,1.65875,1.23389,1.4397,0.53456,0.41136,0.40736,0.17647,1.90459,1.85233,1.67355,0.000692869,0.000692869,0.000692869
7,70.5251,1.62638,1.18366,1.41413,0.56337,0.463,0.47963,0.21717,1.76548,1.73753,1.56756,0.000677643,0.000677643,0.000677643
8,80.5001,1.61322,1.13804,1.39024,0.57957,0.54393,0.54085,0.24375,1.72979,1.37537,1.51709,0.000662417,0.000662417,0.000662417
9,90.4199,1.58478,1.11155,1.3849,0.58841,0.52735,0.52782,0.23578,1.74913,1.28808,1.53141,0.00064719,0.00064719,0.00064719
10,99.9604,1.57778,1.08593,1.38222,0.61902,0.5124,0.5433,0.24929,1.72272,1.2182,1.52347,0.000631964,0.000631964,0.000631964
11,109.914,1.54834,1.04164,1.36421,0.59572,0.56547,0.56649,0.25975,1.73541,1.18592,1.52074,0.000616738,0.000616738,0.000616738
12,119.877,1.52076,1.00662,1.35823,0.59922,0.54672,0.55826,0.2608,1.73616,1.19262,1.51273,0.000601512,0.000601512,0.000601512
13,129.76,1.5184,0.99367,1.34988,0.5987,0.58379,0.57324,0.26995,1.64488,1.15929,1.47338,0.000586286,0.000586286,0.000586286
14,139.674,1.48936,0.97367,1.32714,0.62951,0.56948,0.57487,0.26943,1.72336,1.11908,1.49888,0.000571059,0.000571059,0.000571059
15,149.249,1.47963,0.94141,1.31358,0.62162,0.58367,0.5916,0.28336,1.6297,1.10255,1.45174,0.000555833,0.000555833,0.000555833
16,159.038,1.4837,0.94171,1.32143,0.63815,0.6111,0.62027,0.2911,1.66986,1.05099,1.4763,0.000540607,0.000540607,0.000540607
17,168.931,1.44557,0.90704,1.29659,0.63852,0.63375,0.63751,0.30541,1.64671,1.03279,1.45827,0.000525381,0.000525381,0.000525381
18,178.647,1.44712,0.89301,1.30031,0.6923,0.60764,0.63329,0.30195,1.6808,1.05817,1.47226,0.000510155,0.000510155,0.000510155
19,188.271,1.41703,0.88577,1.28825,0.65663,0.58889,0.61821,0.29188,1.66548,1.035,1.45695,0.000494928,0.000494928,0.000494928
20,197.775,1.4114,0.86291,1.27937,0.66138,0.61341,0.63174,0.30182,1.64673,1.00906,1.45024,0.000479702,0.000479702,0.000479702
21,207.235,1.40034,0.85032,1.27226,0.69922,0.58569,0.63007,0.30293,1.64743,0.99861,1.47127,0.000464476,0.000464476,0.000464476
22,216.774,1.38866,0.83902,1.27844,0.68113,0.63239,0.64451,0.31138,1.6142,0.98453,1.44628,0.00044925,0.00044925,0.00044925
23,226.539,1.36446,0.82128,1.25637,0.659,0.62164,0.65013,0.31496,1.60032,0.97223,1.42651,0.000434024,0.000434024,0.000434024
24,236.38,1.35574,0.81,1.2539,0.70013,0.61322,0.6508,0.31832,1.63004,0.94922,1.4485,0.000418797,0.000418797,0.000418797
25,246.305,1.34204,0.78982,1.23296,0.69034,0.62242,0.65303,0.31891,1.60163,0.95254,1.41376,0.000403571,0.000403571,0.000403571
26,256.167,1.32466,0.77927,1.23241,0.68549,0.63604,0.66037,0.32125,1.60547,0.94735,1.43193,0.000388345,0.000388345,0.000388345
27,266.056,1.3266,0.77861,1.22921,0.64311,0.66223,0.65617,0.32592,1.59915,0.91206,1.43399,0.000373119,0.000373119,0.000373119
28,275.872,1.31161,0.75446,1.2244,0.66059,0.67244,0.6763,0.33294,1.57695,0.89873,1.42042,0.000357893,0.000357893,0.000357893
29,285.682,1.28437,0.73716,1.21128,0.6926,0.66583,0.67386,0.33432,1.59421,0.90217,1.41632,0.000342666,0.000342666,0.000342666
30,295.604,1.26447,0.72604,1.20415,0.71421,0.66484,0.69333,0.33365,1.59629,0.88477,1.4394,0.00032744,0.00032744,0.00032744
31,305.239,1.25501,0.70947,1.19385,0.71623,0.63622,0.67405,0.33531,1.57382,0.89988,1.41647,0.000312214,0.000312214,0.000312214
