epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.4529,1.64897,1.15992,1.6064,0.03743,0.2467,0.02467,0.0075,2.64399,128.519,7.13395,0.000643678,0.000643678,0.000643678
2,21.1668,1.71227,1.4185,1.64259,0.00018,0.02072,1e-05,0,3.90261,45286.2,143.86,0.0012844,0.0012844,0.0012844
3,29.7738,1.79083,1.58464,1.71744,0.00196,0.19962,0.00045,9e-05,4.17643,8101.89,85.5545,0.00189872,0.00189872,0.00189872
4,38.6244,1.80688,1.60925,1.73303,0.0002,0.0226,1e-05,0,4.81836,5702.32,15.7063,0.0018812,0.0018812,0.0018812
5,47.0836,1.71188,1.44761,1.65865,0.22792,0.54991,0.23189,0.08624,2.10824,16.3199,2.51642,0.0018416,0.0018416,0.0018416
6,55.8329,1.67925,1.39675,1.62251,0.33173,0.54502,0.36764,0.16204,1.8547,7.41628,2.034,0.001802,0.001802,0.001802
7,64.4826,1.61648,1.31926,1.57821,0.60457,0.55744,0.54351,0.23557,2.00817,4.24797,2.10492,0.0017624,0.0017624,0.0017624
8,73.1857,1.60935,1.27621,1.57202,0.67963,0.64218,0.66478,0.30321,1.80763,1.85481,1.81749,0.0017228,0.0017228,0.0017228
9,81.8449,1.57862,1.26187,1.55293,0.5964,0.62524,0.58909,0.24344,1.96868,1.91697,2.06674,0.0016832,0.0016832,0.0016832
10,90.3853,1.54718,1.16657,1.52786,0.76485,0.69303,0.78133,0.39931,1.62661,1.50556,1.6804,0.0016436,0.0016436,0.0016436
11,99.008,1.52941,1.13962,1.50117,0.74783,0.72047,0.78348,0.38959,1.6596,1.48687,1.69213,0.001604,0.001604,0.001604
12,107.478,1.50784,1.11829,1.49635,0.7464,0.70949,0.76593,0.37519,1.68262,1.24285,1.70076,0.0015644,0.0015644,0.0015644
13,115.783,1.49192,1.07742,1.49248,0.73147,0.71305,0.76641,0.38649,1.68151,1.45822,1.72288,0.0015248,0.0015248,0.0015248
14,124.147,1.47044,1.06844,1.48353,0.80513,0.71751,0.81186,0.42283,1.62604,1.3008,1.62076,0.0014852,0.0014852,0.0014852
15,132.515,1.44866,1.02674,1.45173,0.78641,0.76966,0.81591,0.4292,1.60624,1.07555,1.59787,0.0014456,0.0014456,0.0014456
16,140.978,1.44023,1.01392,1.44864,0.75813,0.76147,0.80295,0.44008,1.56622,1.11308,1.59564,0.001406,0.001406,0.001406
17,149.501,1.43452,1.0032,1.43643,0.83086,0.71234,0.83024,0.45531,1.53245,1.06468,1.55826,0.0013664,0.0013664,0.0013664
18,158.001,1.41718,1.00218,1.43751,0.84255,0.78604,0.87083,0.47979,1.54267,1.02302,1.5473,0.0013268,0.0013268,0.0013268
19,166.472,1.39651,0.96344,1.41356,0.85643,0.79284,0.87015,0.48504,1.5189,0.91507,1.54186,0.0012872,0.0012872,0.0012872
